ID,coup_for,but_for,but_for_autre,plant_for,coup_mar,but_mar,but_mar_autre,plant_mar,coup_sec,but_sec,but_sec_autre,plant_sec,coup_jac2,but_jac2,but_jac2_autre,plant_jac2,coup_jac2a5,but_jac2a5,but_jac2a5_autre,plant_jac2a5,coup_jac5,but_jac5,but_jac5_autre,plant_jac5,coup_jac10,but_jac10,but_jac10_autre,plant_jac10
285,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
286,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
287,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Voir plus haut,0,,null,null,0,,null,null,0,,null,null
288,1,a,null,Manioc et arachide,0,,null,null,0,,null,null,0,,null,null,null,,null,null,0.5,a,null,Manioc et patate douce,0,,null,null
289,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Riz,0,,null,null,0,,null,null,0,,null,null
290,0,,null,null,null,,null,null,0,,null,null,0.5,a,null,Manioc et Arachide,0,,null,null,0,,null,null,0,,null,null
291,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et patate douce,0,,null,null,0,,null,null
292,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,"Manioc, patate douce",0,,null,null,0,,null,null,0,,null,null
293,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc,0,,null,null,0,,null,null
294,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc, patate douce, tomate",0,,null,null,0,,null,null,0,,null,null
295,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et mais,0,,null,null,0,,null,null,0,,null,null
296,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, tomate",0,,null,null,0,,null,null,0,,null,null
297,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,arachide et patate douce",0,,null,null
298,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a,null,Manioc et niebe,0,,null,null,0,,null,null
299,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et Arachlde,0,,null,null,0,,null,null,0,,null,null
300,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et  Mais,0,,null,null,0,,null,null,0,,null,null
301,1.5,a,null,"Manioc, riz et bananes",0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
302,0.7,a bc,null,Manioc,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
303,null,,null,null,null,,null,null,null,,null,null,null,,null,null,0.5,a bc,null,Manioc,null,,null,null,null,,null,null
304,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,1,a bc,null,S4,null,,null,null
305,0,,null,null,0,,null,null,0,,null,null,0.6,a,null,Manioc et Arachide,0,,null,null,0,,null,null,0,,null,null
306,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Patate douce,0,,null,null,0,,null,null,0,,null,null
307,0,,null,null,0,,null,null,0,,null,null,2,a,null,Manioc et patate diuce,0,,null,null,0,,null,null,0,,null,null
308,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
309,0,,null,null,1,a,null,"Riz, ananas, banane Plantin( note: il a semé pour son employeur ces culture)",0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
310,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et Mais,0,,null,null,0,,null,null,0,,null,null
311,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, patate douce",0,,null,null,0,,null,null,0,,null,null
312,1,a,null,Piment fort et tomates,1,a,null,Piment  fort et tomates,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
313,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
314,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, maïs",0,,null,null,0,,null,null
315,null,,null,null,null,,null,null,null,,null,null,0.25,a bc,null,S3,null,,null,null,null,,null,null,null,,null,null
316,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
317,null,,null,null,null,,null,null,null,,null,null,null,,null,null,1,a bc,null,S2,null,,null,null,null,,null,null
318,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
319,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
320,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc,0,,null,null,0,,null,null,0,,null,null
