"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"319",320,"f","c","ce","p","ek",57,"a",0,"a","m","autre",1,"1964","non","null"
"320",321,"f","c","v","b","ek",61,"p",2,"a","m","autre",2,"2003","non","null"
"321",322,"m","c","m","b","autre",28,"s",8,"a","p","autre",2,"1993","non","null"
"322",323,"m","c","m","b","ek",43,"s",12,"a","a","buya",6,"null","non","null"
"323",324,"m","c","m","b","ek",24,"s",8,"a","a","buya",1,"2013","non","null"
"324",325,"m","c","m","b","autre",33,"s",10,"a","a","autre",7,"2001","non","null"
"325",326,"m","c","m","b","d",55,"p",5,"a","autre","autre",1,"2010","oui","40"
"326",327,"m","c","m","p","autre",20,"a",0,"a","p","buya",0,"null","non","null"
"327",328,"m","c","m","b","d",31,"s",10,"a","autre","autre",2,"2003","oui","30"
"328",329,"f","e","s","b","ek",38,"s",8,"a","m","autre",8,"1999","non","null"
"329",330,"m","c","m","p","d",50,"a",0,"ef","autre","autre",3,"1993","oui","50"
"330",331,"m","c","m","b","ek",53,"s",9,"a","autre","autre",8,"2006","oui","80"
"331",332,"f","e","m","b","ek",32,"a",0,"a","m","autre",1,"2006","non","null"
"332",333,"f","c","m","b","autre",40,"s",9,"a","v","autre",4,"1997","non","null"
"333",334,"m","c","m","b","autre",47,"s",9,"a","a","autre",6,"1996","non","null"
"334",335,"m","c","m","p","autre",27,"a",0,"mo","autre","buya",1,"null","oui","1"
"335",336,"m","c","m","b","ek",36,"p",5,"a","autre","buya",4,"2013","non","null"
"336",337,"m","c","m","b","ek",45,"s",12,"a","a","autre",2,"2005","oui","83"
"337",338,"m","c","m","p","d",23,"a",0,"ef","autre","autre",1,"2010","oui","15"
"338",339,"m","c","m","b","ek",21,"s",12,"e","e","buya",1,"null","non","null"
"339",340,"m","c","m","p","ek",40,"p",5,"ef","a","autre",6,"1997","oui","75"
"340",341,"m","c","m","p","d",38,"s",8,"ef","autre","autre",1,"1997","oui","32"
"341",342,"m","c","m","b","ek",24,"s",12,"e","e","buya",2,"null","non","null"
"342",343,"f","c","m","b","autre",42,"p",6,"a","v","autre",8,"2009","non","null"
"343",344,"m","c","m","p","ek",29,"p",2,"ef","a","autre",3,"1993","non","null"
"344",345,"m","c","m","p","autre",70,"a",0,"autre","autre","autre",0,"2013","non","null"
"345",346,"m","c","m","b","autre",47,"s",12,"a","p","autre",3,"1994","non","null"
"346",347,"m","c","m","p","ek",24,"a",0,"a","autre","buya",0,"2010","oui","53"
"347",348,"m","c","m","b","autre",45,"s",10,"a","p","autre",2,"2012","non","null"
"348",349,"m","c","m","p","autre",45,"a",0,"a","p","autre",3,"2012","non","null"
"349",350,"f","c","m","b","ek",44,"p",5,"a","v","buya",2,"null","non","null"
"350",351,"m","c","m","p","autre",30,"p",3,"a","p","buya",5,"null","non","null"
"351",352,"m","c","m","p","autre",65,"p",6,"v","v","autre",3,"2010","non","null"
"352",353,"m","c","m","p","autre",26,"a",0,"a","a","autre",2,"2014","oui","20"
"353",354,"m","c","m","b","ek",49,"s",10,"a","ef","autre",6,"1972","non","null"
"354",355,"m","c","m","b","is",27,"p",2,"a","p","buya",6,"null","non","null"
"355",356,"m","c","ce","b","ek",18,"p",5,"a","a","autre",0,"2013","non","null"
"356",357,"f","c","d","b","is",29,"p",4,"a","v","buya",1,"null","non","null"
"357",358,"m","c","m","b","is",28,"p",4,"a","p","buya",3,"null","non","null"
"358",359,"m","c","m","p","ek",24,"p",3,"a","a","autre",2,"2007","oui","6"
"359",360,"m","c","m","b","autre",26,"s",12,"a","e","autre",2,"1986","non","null"
"360",361,"m","c","m","p","is",48,"p",5,"a","p","autre",6,"1996","non","null"
"361",362,"m","c","m","p","autre",34,"a",0,"a","a","autre",1,"2012","non","null"
"362",363,"m","c","m","p","ek",22,"p",8,"mo","autre","autre",2,"2011","non","null"
"363",364,"m","c","m","p","ek",44,"a",0,"mo","autre","autre",2,"2013","oui","10"
"364",365,"f","c","v","b","ek",64,"a",0,"a","autre","autre",3,"1990","oui","29"
"365",366,"m","c","m","p","is",27,"p",3,"a","p","buya",2,"null","oui","0"
"366",367,"m","c","co","b","is",22,"s",12,"e","a","buya",0,"null","non","null"
