"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"178",179,"f","c","d","p","ek",55,"p",1,"a","m","autre",3,"1999","non","null"
"179",180,"f","c","m","b","autre",49,"s",7,"a","v","autre",1,"2003","non","null"
"180",181,"m","c","m","b","ek",29,"s",7,"a","a","buya",3,"null","non","null"
"181",182,"m","c","m","b","ek",25,"s",12,"autre","a","autre",2,"1998","non","null"
"182",183,"m","c","m","autre","autre",43,"s",12,"a","v","buya",4,"1980","non","null"
"183",184,"m","c","m","b","autre",39,"s",8,"a","p","autre",5,"null","non","null"
"184",185,"m","c","m","p","is",26,"a",0,"ef","a","autre",0,"1993","non","null"
"185",186,"m","c","ce","p","is",20,"a",0,"ef","p","autre",0,"2004","non","null"
"186",187,"m","c","m","p","is",22,"p",2,"ef","p","autre",0,"2012","non","null"
"187",188,"m","c","m","p","ek",47,"s",7,"a","mo","autre",6,"2006","non","null"
"188",189,"m","c","m","p","ek",29,"a",0,"mo","mo","autre",2,"1989","non","null"
"189",190,"m","c","m","b","autre",23,"p",1,"a","p","autre",0,"2013","non","null"
"190",191,"m","c","m","p","ek",23,"a",0,"m","mo","autre",1,"1984","non","null"
"191",192,"f","c","d","b","is",29,"p",3,"v","autre","buya",5,"null","non","null"
"192",193,"m","c","m","b","ek",38,"s",7,"ef","autre","autre",2,"null","non","null"
"193",194,"m","c","m","b","autre",37,"p",6,"a","p","buya",6,"null","non","null"
"194",195,"m","c","m","p","autre",38,"p",1,"a","p","autre",4,"2013","non","null"
"195",196,"f","c","d","b","ek",60,"s",10,"a","autre","autre",11,"1984","oui","65"
"196",197,"m","c","m","b","autre",35,"p",6,"a","v","buya",5,"null","non","null"
"197",198,"f","e","m","b","autre",60,"p",6,"a","m","autre",4,"1958","non","null"
"198",199,"m","c","m","b","ek",47,"p",6,"a","p","buya",3,"null","oui","3"
"199",200,"m","c","m","b","ek",30,"s",12,"autre","a","autre",4,"2007","non","null"
"200",201,"m","c","m","b","ek",25,"s",11,"autre","a","autre",1,"2003","non","null"
"201",202,"m","c","m","b","ek",60,"s",9,"a","p","autre",5,"2002","non","null"
"202",203,"m","c","m","b","autre",49,"s",8,"autre","autre","autre",3,"2013","non","null"
"203",204,"m","c","m","b","ek",45,"p",6,"a","p","autre",5,"1970","non","null"
"204",205,"m","c","m","b","autre",41,"s",9,"a","autre","autre",6,"2004","non","null"
"205",206,"m","c","m","b","autre",25,"s",12,"a","v","autre",1,"2013","non","null"
"206",207,"m","c","m","b","autre",33,"s",10,"a","p","autre",2,"1997","non","null"
"207",208,"m","c","m","b","autre",51,"s",10,"a","p","autre",5,"1995","non","null"
"208",209,"m","c","ce","p","ek",23,"p",3,"mo","mo","autre",0,"2009","non","null"
"209",210,"f","e","m","b","ek",27,"a",0,"a","mo","buya",3,"null","non","null"
"210",211,"m","c","m","b","ek",48,"s",12,"a","autre","autre",7,"1989","oui","56"
"211",212,"m","c","m","b","ek",53,"s",12,"a","a","buya",1,"1990","non","null"
"212",213,"m","c","m","b","ek",46,"s",12,"autre","autre","autre",3,"2010","non","null"
"213",214,"m","c","m","b","ek",30,"s",12,"autre","autre","buya",2,"null","non","null"
"214",215,"f","c","ce","b","ek",22,"s",7,"a","m","buya",1,"null","non","null"
"215",216,"m","c","m","b","autre",43,"s",11,"a","v","autre",7,"1992","non","null"
"216",217,"m","c","m","b","ek",47,"s",9,"autre","a","autre",9,"2006","oui","15"
"217",218,"m","c","d","b","d",79,"p",4,"autre","v","autre",1,"2","non","null"
"218",219,"m","c","m","b","autre",23,"s",12,"autre","a","buya",1,"null","non","null"
"219",220,"m","c","m","b","ek",53,"p",1,"a","p","buya",6,"null","non","null"
"220",221,"m","c","m","p","ek",40,"p",3,"a","mo","autre",2,"1989","non","null"
"221",222,"m","c","m","b","autre",37,"s",12,"a","autre","autre",6,"2003","non","null"
"222",223,"m","c","m","b","is",20,"s",7,"a","a","buya",0,"null","non","null"
"223",224,"m","c","m","b","d",38,"s",12,"autre","autre","autre",4,"1990","non","null"
"224",225,"f","c","m","b","autre",25,"p",6,"a","v","autre",2,"2012","non","null"
"225",226,"m","c","m","p","ek",34,"a",0,"ef","a","autre",4,"2013","non","null"
"226",227,"m","c","m","b","d",43,"s",11,"a","autre","autre",5,"1997","oui","20"
"227",228,"m","c","m","b","autre",44,"s",10,"a","v","autre",9,"1970","non","null"
"228",229,"f","c","m","b","autre",46,"s",12,"autre","a","autre",8,"1988","non","null"
"229",230,"m","c","m","b","d",37,"s",12,"a","autre","autre",6,"2000","oui","4"
"230",231,"f","c","d","b","d",48,"p",2,"a","autre","autre",7,"2012","non","null"
"231",232,"m","c","m","p","ek",41,"a",0,"mo","autre","autre",6,"2005","oui","45"
"232",233,"m","c","m","b","ek",45,"s",8,"a","a","autre",6,"2003","non","null"
"233",234,"m","c","m","b","ek",33,"s",12,"autre","a","autre",4,"2000","non","null"
"234",235,"f","c","m","b","autre",57,"p",5,"a","v","autre",4,"1997","non","null"
"235",236,"m","c","m","p","ek",42,"p",3,"a","p","buya",5,"null","oui","2"
"236",237,"f","c","m","b","autre",22,"p",6,"a","v","buya",4,"null","non","null"
"237",238,"m","c","m","b","autre",33,"s",10,"a","p","autre",3,"1997","non","null"
"238",239,"m","c","m","b","autre",64,"s",12,"autre","a","autre",9,"1980","non","null"
"239",240,"m","c","m","b","autre",48,"s",10,"autre","a","autre",8,"2003","non","null"
"240",241,"m","c","m","b","autre",49,"s",8,"a","autre","autre",10,"1984","non","null"
"241",242,"m","c","m","b","d",28,"p",6,"a","p","buya",2,"2006","non","null"
"242",243,"m","c","m","b","ek",27,"s",7,"a","p","buya",1,"1996","non","null"
"243",244,"m","c","v","b","ek",61,"s",9,"a","p","autre",2,"1979","non","null"
"244",245,"f","c","ce","p","is",25,"a",0,"ef","m","autre",3,"2012","non","null"
"245",246,"f","c","ce","p","is",40,"a",0,"ef","m","autre",3,"1998","non","null"
"246",247,"f","c","ce","b","ek",50,"s",7,"a","v","autre",6,"2013","non","null"
"247",248,"f","c","d","b","autre",50,"p",3,"a","v","autre",1,"2011","non","null"
