"","bicyclette","tv","radio","moto","generatrice","cellulaire","voiture","bateau","fusil","panneau","moulin","tronconeuse","houes","machette","tracteur","hache","boeuf","cheval"
"X79",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X80",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X81",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X82",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X83",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X84",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X85",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X86",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X87",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X88",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X89",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"X90",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X91",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"X92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X93",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X94",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"X95",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X96",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X97",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X98",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X101",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X102",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X103",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X104",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X105",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"X106",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X107",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X108",0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
