"","bicyclette","tv","radio","moto","generatrice","cellulaire","voiture","bateau","fusil","panneau","moulin","tronconeuse","houes","machette","tracteur","hache","boeuf","cheval"
"X343",1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"X344",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X346",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X347",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"X348",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"X349",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X350",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"X351",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X352",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X354",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X355",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"X356",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X357",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X358",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X359",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X360",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X361",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X362",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X363",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X364",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X365",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X366",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X367",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X368",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"X369",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X370",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X371",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X372",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X373",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X374",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X375",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X376",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X377",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X378",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X379",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"X380",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
