ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
178,c j,null,min30a60,a,f,oui,fm,null,min30a60,c,v,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,O
179,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Champignons et liane
180,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f,oui,fm,null,plus10,a,f v,oui,Dans les ruissaux,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,tout,null,plus2,a,f,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Mafambu et Tondolo
181,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f v,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,c,null,minutes30,a,f,non,,null,null,,,oui,tout,null,minutes30,a,f v,non,,null,null,,,Liane et champignons
182,tout,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,Chanpignon et igname sauvage
183,tout,null,min30a60,a,f d,oui,fp j fm,null,min30a60,a c,f v d,non,,null,null,,,oui,tout,null,minutes30,a,f v d,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,pa,f d,oui,fp j,null,min30a60,a,f v d,oui,tout,null,minutes30,a,f d,non,,null,null,,,Ignames et chanpignons
184,c,null,plus1,a,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus4,a,f v d,min30a60,a,non,,null,null,,,oui,fm,null,plus2,a,f v d,oui,fp,null,plus2,pa,a f v d,oui,fp,null,plus1,a,f v d,oui,fp,null,minutes30,a,f v d,non,,null,null,,,Champignons  et légumes sauvages
185,c,null,minutes30,a,a f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v d,oui,Ruisseaux et marecages,null,minutes30,a,f v d,minutes30,a,oui,j,null,minutes30,a,a f v,oui,fm,null,minutes30,a,f v,non,,null,null,,,oui,tout,null,minutes30,a,f v,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a,f v d,Champignons et légumes sauvages et ignames sauvages
186,c,null,minutes30,a,a v d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,oui,tout,null,minutes30,a,f v d,oui,Ruisseaux et marecages,null,minutes30,a pa,f v d,minutes30,a,oui,fp fs j fm,null,minutes30,a,a v,oui,fm,null,minutes30,a,f v,oui,j,null,minutes30,a,f v,oui,j,null,minutes30,a,f v,oui,tout,null,minutes30,a pa,a f v,oui,tout,null,minutes30,a,f v d,"Fruits sauvages,  champignons"
187,c,null,minutes30,a,a f v,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,oui,tout,null,minutes30,a,f v d,oui,Ruisseaux et marecages,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v,oui,j,null,minutes30,a,f v d,non,,null,null,,,oui,tout,null,minutes30,a pa,f v d,oui,fm,null,minutes30,a,f v d,"Ignames sauvages, champignons, fruits sauvages"
188,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,oui,Marécage,null,plus2,a,f v,minutes30,a,oui,tout,null,minutes30,a,f,oui,tout,null,minutes30,a,f v,oui,tout,null,min30a60,a,f v,oui,tout,null,min30a60,a,f,oui,tout,null,min30a60,a,f v,non,,null,null,,,Liane et champignons
189,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,tout,null,plus1,a pa,f v,non,,null,null,,,oui,tout,null,plus1,a pa,f v,non,,null,null,,,Liane et champignon
190,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,oui,Dans les ruissaux,null,plus4,a,f v,minutes30,a,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,"Champignon, Mafambu et Tondolo"
191,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus1,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,fp j,null,plus1,a,f v,oui,fm,null,plus1,a,f v,oui,tout,null,plus1,a,f v,non,,null,null,,,Liane et champignons
192,fp fm,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus1,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, Schizolobium paramacrobium ( nzete ya mokebe), Igname"
193,c j,null,min30a60,a,f d,oui,fp fm,null,min30a60,a pa,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fs j,null,min30a60,a pa,f d,non,,null,null,,,oui,c fp fs j fm tout,null,min30a60,a pa,f v d,non,,null,null,,,"Champignons, Marantaceae, igname"
194,tout,null,plus2,pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Dans nos ruisseaux,null,plus1,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus6,pa,f v,oui,tout,null,plus1,a,f,oui,tout,null,plus2,a,f v,non,,null,null,,,"Champignon , Booloko et Mafambu"
195,tout,null,plus1,a pp,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,oui,tout,null,plus6,a,f v,oui,Dans les ruissaux,null,plus4,a,f v,minutes30,a pa,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Rien
196,c fs j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fs j,null,plus1,a,f d,non,,null,null,,,oui,c j,null,min30a60,a,f d,non,,null,null,,,"Champignons, noix de palme, Dynastes ( larves de coléoptères)"
197,c,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f v,non,,null,null,,,oui,Marecage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
198,c,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f v d,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus4,a,f d,oui,j,null,min30a60,a,f v d,non,,null,null,,,non,,null,null,,,Chan pignons et igname sauvage
199,tout,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,non,,null,null,,,Champignons
200,c,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,a f,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f d,non,,null,null,,,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a pa,f v d,non,,null,null,,,"Champignons, fruits sauvages"
201,c,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f d,non,,null,null,,,0
202,c,null,min30a60,a pa,f,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,oui,tout,null,min30a60,a,f v d,oui,Ruisseaux et marécages,null,minutes30,a,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,oui,tout,null,min30a60,a pa,f d,oui,tout,null,min30a60,a,f v d,"Champignons, légumes sauvages"
203,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Rien
204,tout,null,plus1,a pa pp,f,non,,null,null,,,oui,j,null,plus1,pp,f v,oui,tout,null,plus2,a,f,non,,null,null,,,oui,Dans le ruisseaux de notre village,null,plus4,a,f v,minutes30,a pp,non,,null,null,,,oui,tout,null,plus2,a,f,oui,j,null,plus4,a pa,f v,oui,j,null,plus2,a pp,f,oui,tout,null,plus2,a,f v,non,,null,null,,,"Matonge, Mafambu, Ndonge, Massendja et autres"
205,tout,null,min30a60,a,f d,oui,fm,null,plus1,c,f v,oui,j fm,null,plus1,a,f v d,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp fm,null,plus1,a,f v d,non,,null,null,,,Non
206,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,oui,Dans les ruisseaux de Buya,null,plus4,a,f v,min30a60,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,pa,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Rien
207,c j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f v d,oui,fm,null,plus1,a,f d,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,fp,null,plus2,c,f d,oui,tout,null,min30a60,a,f v d,oui,fp j fm,null,minutes30,a,f v d,non,,null,null,,,Champignon
208,tout,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v,oui,fp fs j fm,null,min30a60,a,f v d,oui,Marecage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp,null,min30a60,a,f v d,oui,fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,"Annonadium mani ,champignons"
209,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus1,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Liane et champignon
210,j,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,Champignon
211,c j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v d,oui,fm,null,plus1,a,f v d,oui,c fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,"Champignons, serpent,tortue, matonge ( Landolphia lanceolata)"
212,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,pa,f,non,,null,null,,,oui,tout,null,min30a60,pa,f,non,,null,null,,,Champignon
213,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a pa,f d,oui,fp fs j fm,null,plus2,a pa,f v d,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a pa,f v d,oui,fp fs j,null,plus1,a pa,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, noix de palme"
214,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a,f d,non,,null,null,,,oui,Marécages,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus2,a,f d,non,,null,null,,,oui,c fp fs j fm,null,plus1,a,f v d,non,,null,null,,,"Champignos, noix de palme"
215,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,pa,f,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Champignon
216,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f d,min30a60,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
217,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f v,oui,Ruisseaux et marecages,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f,non,,null,null,,,"Champignons, fruits sauvages, ignames sauvages"
218,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,null,null,null,,,min30a60,a,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null
219,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,Non
220,c,null,min30a60,a pp,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,minutes30,a,f v d,non,,null,null,,,oui,Marecages,null,min30a60,a pp,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a pp,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f d,non,,null,null,,,Champignons
221,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,a,oui,fm,null,minutes30,a,f v,oui,fm,null,min30a60,a,f v,oui,tout,null,min30a60,a,f v,non,,null,null,,,oui,tout,null,min30a60,a,f v,oui,tout,null,minutes30,a,f v,Liane et champignon
222,c fm,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f v d,non,,null,null,,,oui,Marecage,null,plus4,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f v d,non,,null,null,,,oui,j,null,plus1,a,f v d,non,,null,null,,,"Chanpigons, légumes sauvages et ignames"
223,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus1,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Champignon
224,c,null,plus1,a pa,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f v d,oui,fp fs j fm,null,plus1,a,f v d,oui,Marécage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,min30a60,a pa,f d,oui,fs j,null,plus2,a pa,f v d,oui,fp fs j fm,null,min30a60,a,f d,non,,null,null,,,"Mindenge ( Anona miricata) , paypay ( Carica papaya), champignons, igname"
225,c fp fs j,null,plus1,a pa pp,f,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,non,,null,null,,,oui,Dans les ruisseaux de Buya,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Mafambu et Tondolo
226,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,a f v,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,"Fruits sauvages, ignames sauvages, champignons"
227,c fs,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,fp fs j fm,null,min30a60,a,f d,non,,null,null,,,oui,Marécage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fp fs j,null,plus1,a pa,f d,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f d,non,,null,null,,,"Noix de palme, champignons, igname"
228,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa pp,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Rien
229,j,null,min30a60,pp,f,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fs,null,plus4,pa,f v,non,,null,null,,,oui,fm,null,plus4,a,f v,non,,null,null,,,"Mafambu, Mpunga, Tondolo"
230,fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,plus2,a,f v d,oui,Marécage,null,plus2,a,f v d,min30a60,a,non,,null,null,,,oui,fm,null,plus1,a,f d,oui,j,null,plus1,a pa,f d,non,,null,null,,,oui,c,null,min30a60,a pa,f d,oui,fm,null,plus2,a,f v d,"Ngadiadia ( Garcinia kola), champignons, igname, noix de palme"
231,c j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c j,null,minutes30,a,f v d,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus1,a pa,f d,non,,null,null,,,oui,j fm,null,min30a60,a,f d,non,,null,null,,,"Noix de palme, igname,champignons"
232,c j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j fm,null,min30a60,a,f v,oui,fp fs j fm,null,plus2,a,f v d,oui,Marécage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,fp fs j,null,plus1,a pa,f v d,oui,fp fs fm,null,min30a60,a,f v d,oui,c fp fs j fm,null,plus1,a pa,f v d,oui,fm,null,plus1,a pa,f v d,"Champignons, noix de palme, matofe ( Landolphia obscura),igname, mbaka ( Guibourtia demeusei), ndombo ( Momordica charatia)"
233,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,j,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Champignon et liane
234,j,null,min30a60,a,f,oui,fm,null,plus2,c,v,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a,f v,oui,fm,null,plus1,a,f d,Liane et champignon
235,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,oui,tout,null,plus6,a,f v,oui,Dans les ruisseaux,null,plus4,a,f v,minutes30,a,non,,null,null,,,oui,tout,null,plus2,a pa pp,f v,oui,c fp fs j fm tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,min30a60,a,f v,oui,tout,null,plus4,a c pa pp,f v,"Bempoma, Mpunga.   Matofe et Massedja"
236,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,c,null,plus2,a,f v,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,fp,null,plus1,a,f v,oui,tout,null,min30a60,a,f v,Champignons et liane
237,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,oui,tout,null,plus10,a,f v,oui,au Nganda Ekele,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Mafambu
238,tout,null,plus1,a c pp,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,oui,tout,null,plus6,a,f v,oui,Dans les ruisseaux de Buya,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,oui,tout,null,plus2,a,f,oui,tout,null,plus4,a,f v,non,,null,null,,,Ngadiadia
239,tout,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a,f v,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,min30a60,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,fp j,null,min30a60,a,f v d,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,Non
240,c,null,plus1,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Chanpignons
241,tout,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp j,null,min30a60,a pa,f d,non,,null,null,,,oui,j,null,min30a60,a pa,f v d,non,,null,null,,,Chan pignons et légumes sauvages
242,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a pa,f d,non,,null,null,,,oui,Marecages,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, légumes sauvages"
243,c,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,minutes30,a,f,non,,null,null,,,oui,Marecages,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, légumes sauvages"
244,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f d,oui,tout,null,plus10,a,f v d,oui,"Ruisseaux, marecage",null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Fruits sauvages, légumes sauvages, champignons, corde de liane"
245,c,null,min30a60,a,a f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,minutes30,a pa,f d,minutes30,a,oui,j,null,plus1,a,a f v d,non,,null,null,,,oui,j,null,minutes30,a,a f v d,non,,null,null,,,oui,tout,null,minutes30,a pa,f d,non,,null,null,,,"Champignons, légumes sauvages, ignames sauvages"
246,c,null,min30a60,a pa,a v d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v d,non,,null,null,,,oui,Eco page dans les ruisseaux et marecages,null,minutes30,a,f v d,minutes30,a,oui,j,null,minutes30,a,a v d,non,,null,null,,,oui,j,null,minutes30,a,a f v d,oui,tout,null,minutes30,a,a f v d,oui,tout,null,minutes30,a,f v d,non,,null,null,,,"Champignons, légumes sauvages, fruits sauvages, ignames sauvages"
247,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Pas du ytout
248,j,null,plus2,a pp,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus6,a,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,Rien
249,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Ne fait pas de champs
250,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,oui,tout,null,min30a60,a,f v,oui,Dans la lokali,null,plus1,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Noix de palme
251,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
252,j,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f,non,,null,null,,,oui,Dans ma foret mareccageuse,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,oui,tout,null,plus2,a,f v,non,,null,null,,,non,,null,null,,,Noix de palme
